"DRGKode";"DRGNavn";"Kostnadsvekt";"TrimpunktØvre";"ProsedyreinnholdsType";"DRGBasispoeng";"HDGKode";"ErGyldigForSekundærRehabilitering";"DRGTjenestetype";"ErGyldigForPoengtilleggAmbulantBehandling";"DRG_CCNivå";"DRG_CCGruppe";"ErSomatikk"
"4";"Op på kolumna/spinalkanal/ryggmarg/nerverøtter";4.508;40;"K";4.508;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"5";"Operasjoner på ekstrakranielle kar";3.122;18;"K";3.122;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"6";"Operasjoner ved karpaltunnelsyndrom";0.976;4;"K";0.194;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"7";"Perifere, hjerne- og andre nerveop m/bk";3.754;36;"K";3.754;1;0;"Ordinære innleggelser med overnatting";0;1;"7_8";"Ja"
"8";"Perifere, hjerne- og andre nerveop u/bk";1.553;6;"K";1.553;1;0;"Ordinære innleggelser med overnatting";0;0;"7_8";"Ja"
"9";"Sykdommer i og skader på ryggmargen";1.360;14;"M";1.360;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"10";"Svulster i nervesystemet m/bk";1.591;19;"M";1.591;1;0;"Ordinære innleggelser med overnatting";0;1;"10_11";"Ja"
"11";"Svulster i nervesystemet u/bk";1.077;12;"M";1.077;1;0;"Ordinære innleggelser med overnatting";0;0;"10_11";"Ja"
"12";"Degenerative sykdommer i nervesystemet";1.327;11;"M";1.327;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"13";"Multippel sklerose og cerebellar ataksi";1.112;10;"M";1.112;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"15";"TIA og okklusjon av precerebrale arterier";0.701;5;"M";0.701;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"16";"Uspesifikke karsykdommer i hjernen m/bk";1.332;15;"M";1.332;1;0;"Ordinære innleggelser med overnatting";0;1;"16_17";"Ja"
"17";"Uspesifikke karsykdommer i hjernen u/bk";0.608;6;"M";0.608;1;0;"Ordinære innleggelser med overnatting";0;0;"16_17";"Ja"
