"DRGKode";"DRGNavn";"Kostnadsvekt";"TrimpunktØvre";"ProsedyreinnholdsType";"DRGBasispoeng";"HDGKode";"ErGyldigForSekundærRehabilitering";"DRGTjenestetype";"DRG_CCNivå";"DRG_CCGruppe"
"4";"Op på kolumna/spinalkanal/ryggmarg/nerverøtter";4.095;33;"K";4.095;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"5";"Operasjoner på ekstrakranielle kar";3.202;19;"K";3.202;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"6";"Operasjoner ved karpaltunnelsyndrom";0.848;3;"K";0.181;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"7";"Perifere, hjerne- og andre nerveop m/bk";2.939;26;"K";2.939;1;0;"Ordinære innleggelser med overnatting";1;"7_8"
"8";"Perifere, hjerne- og andre nerveop u/bk";1.518;7;"K";1.518;1;0;"Ordinære innleggelser med overnatting";0;"7_8"
"9";"Sykdommer i og skader på ryggmargen";1.965;31;"M";1.965;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"10";"Svulster i nervesystemet m/bk";1.572;18;"M";1.572;1;0;"Ordinære innleggelser med overnatting";1;"10_11"
"11";"Svulster i nervesystemet u/bk";1.048;13;"M";1.048;1;0;"Ordinære innleggelser med overnatting";0;"10_11"
"12";"Degenerative sykdommer i nervesystemet";1.050;12;"M";1.050;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"13";"Multippel sklerose og cerebellar ataksi";1.123;10;"M";1.123;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"15";"TIA og okklusjon av precerebrale arterier";0.692;5;"M";0.692;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"16";"Uspesifikke karsykdommer i hjernen m/bk";0.730;0;"M";0.730;1;0;"Ordinære innleggelser med overnatting";1;"16_17"
"17";"Uspesifikke karsykdommer i hjernen u/bk";0.730;9;"M";0.730;1;0;"Ordinære innleggelser med overnatting";0;"16_17"
"18";"Sykdommer i hjernenerver og perifere nerver m/bk";1.259;14;"M";1.259;1;0;"Ordinære innleggelser med overnatting";1;"18_19"
"19";"Sykdommer i hjernenerver og perifere nerver u/bk";0.864;8;"M";0.864;1;0;"Ordinære innleggelser med overnatting";0;"18_19"
"20";"Infeksjon i nervesystemet ekskl viral meningitt";2.668;31;"M";2.668;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"21";"Viral meningitt";1.068;12;"M";1.068;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
