"STGKode";"STGNavn";"Periode";"HDGKode";"STGBasispoeng";"STGGruppeKode";"STGGruppeNavn";"Kostnadsvekt"
"AS01";"Pasientadministrert legemiddelbehandling ved nevrologiske lidelser";"År";1;2.098;200;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 0";2.098
"AS02";"Oppfølging og monitorering av pasienter med epilepsi basert på Patient Reported Outcomes";"Tertial";1;0.020;551;"Digitale tjenester for oppfølging av pasienter med kroniske tilstander - 1";0.020
"CS01";"Telemedisinsk oppfølging av pasienter med søvnapné som bruker CPAP";"Tertial";3;0.013;501;"Telemedisinsk oppfølging - 1";0.013
"DS01";"Pasientadministrert legemiddelbehandling ved behandling av lungekreft";"År";4;2.803;307;"Pasientadministrert legemiddelbehandling for kreft - 7";2.803
"DS02";"Pasientadministrert legemiddelbehandling ved alvorlig astma";"År";4;2.277;205;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 5";2.277
"ES01";"Telemedisinsk oppfølging av pasienter med pacemaker/ ICD";"Tertial";5;0.013;502;"Telemedisinsk oppfølging - 2";0.013
"ES02";"Pasientadministrert legemiddelbehandling ved pulmonal arteriell hypertensjon (PAH)";"År";5;4.876;207;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 7";4.876
"FS01";"Pasientadministrert legemiddelbehandling ved mage-/tarm lidelser";"År";6;1.980;200;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 0";1.980
"FS02";"Pasientadministrert legemiddelbehandling ved behandling av kreft i fordøyelsesorgan";"År";6;1.763;308;"Pasientadministrert legemiddelbehandling for kreft - 8";1.763
"GS01";"Pasientadministrert legemiddelbehandling ved hepatitt C-infeksjon";"År";7;1.543;201;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 1";1.543
"GS02";"Pasientadministrert legemiddelbehandling ved behandling av kreft i lever, galleveier og bukspyttkjertel ";"År";7;1.556;309;"Pasientadministrert legemiddelbehandling for kreft - 9";1.556
"GS03";"Pasientadministrert legemiddelbehandling ved hepatitt B-infeksjon";"ÅR";7;0.490;201;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 1";0.490
"HS01";"Pasientadministrert legemiddelbehandling ved revmatologiske lidelser";"År";8;1.071;200;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 0";1.071
"HS02";"Oppfølging og monitorering av pasienter med revmatologiske lidelser basert på Patient Reported Outcomes";"Tertial";8;0.020;552;"Digitale tjenester for oppfølging av pasienter med kroniske tilstander - 2";0.020
