"TFGKode";"TFGNavn";"Periode";"HDGKode";"Kostnadsvekt";"TFGBasispoeng"
"AT01";"Behandling av MS og andre nevrologiske lidelser med særskilte legemidler";"År";1;2.448;2.448
"AT851";"Ekstern strålebehandling ved svulst i sentralnervesystemet";"År";1;0.000;0.000
"AT99";"Andre tjenesteforløp - HDG 01";"År";1;0.000;0.000
"BT99";"Andre tjenesteforløp - HDG 02";"År";2;0.000;0.000
"CT851";"Ekstern strålebehandling ved svulst i øre, nese, hals, øye og ansikt";"År";2;0.000;0.000
"CT99";"Andre tjenesteforløp - HDG 03";"År";3;0.000;0.000
"DT851";"Ekstern strålebehandling ved lungekreft";"År";4;0.000;0.000
"DT99";"Andre tjenesteforløp - HDG 04";"År";4;0.000;0.000
"ET99";"Andre tjenesteforløp - HDG 05";"År";5;0.000;0.000
"FT01";"Behandling av inflammatoriske mage-/tarm lidelser med særskilte legemidler";"År";6;1.219;1.219
"FT851";"Ekstern strålebehandling ved kreft i fordøyelsesorganer";"År";6;0.000;0.000
"FT99";"Andre tjenesteforløp - HDG 06";"År";6;0.000;0.000
"GT99";"Andre tjenesteforløp - HDG 07";"År";7;0.000;0.000
"HT01";"Behandling av revmatologiske lidelser med særskilte legemidler";"År";8;0.668;0.668
"HT02";"Innsetting av primær hofteleddsprotese m/bk";"År";8;2.625;2.625
"HT03";"Innsetting av primær hofteleddsprotese u/bk";"År";8;2.007;2.007
"HT04";"Innsetting av primær kneleddsprotese";"År";8;0.000;0.000
"HT99";"Andre tjenesteforløp - HDG 08";"År";8;0.000;0.000
"JT01";"Behandling av psoriasis og andre hudlidelser med særskilte legemidler";"År";9;0.755;0.755
"JT851";"Ekstern strålebehandling ved hudkreft";"År";9;0.000;0.000
"JT99";"Andre tjenesteforløp - HDG 09";"År";9;0.000;0.000
"KT851";"Ekstern strålebehandling ved brystkreft";"År";30;0.000;0.000
"KT99";"Andre tjenesteforløp - HDG 30";"År";30;0.000;0.000
"LT99";"Andre tjenesteforløp - HDG 10";"År";10;0.000;0.000
"MT01";"Dialysebehandling";"Måned";11;1.043;1.043
"MT99";"Andre tjenesteforløp - HDG 11";"År";11;0.000;0.000
"NT851";"Ekstern strålebehandling ved svulst i mannlige kjønnsorganer";"År";12;0.000;0.000
"NT99";"Andre tjenesteforløp - HDG 12";"År";12;0.000;0.000
"OT99";"Andre tjenesteforløp - HDG 13";"År";13;0.000;0.000
"PT01";"Fødselsforløp keiersersnitt  m/bk";"År";14;0.000;0.000
"PT02";"Fødselsforløp keiersersnitt  u/bk";"År";14;0.000;0.000
"PT03";"Fødselsforløp med vaginalfødsel m/bk";"År";14;0.000;0.000
"PT04";"Fødselsforløp med vaginalfødsel u/bk";"År";14;0.000;0.000
"PT05";"Fødselsforløp med vaginalfødsel m/sterilisering og/eller evakuering";"År";14;0.000;0.000
"PT06";"Fødselsforløp med vaginalfødsel m/ op ekskl sterilisering og/eller evakuering";"År";14;0.000;0.000
"PT07";"Fødselsforløp keisersnitt, dagkirurgisk behandling ";"År";14;0.000;0.000
"PT08";"Fødselsforløp med vaginalfødsel, dagopphold";"År";14;0.000;0.000
"PT99";"Andre tjenesteforløp - HDG 14";"År";14;0.000;0.000
"QT99";"Andre tjenesteforløp - HDG 15";"År";15;0.000;0.000
"RT851";"Ekstern strålebehandling ved kreft i bloddannende organer og lymfatisk vev";"År";17;0.000;0.000
"RT99";"Andre tjenesteforløp - HDG 16 og 17";"År";16;0.000;0.000
"ST99";"Andre tjenesteforløp - HDG 18";"År";18;0.000;0.000
"TT01";"Forløp for poliklinisk behandling hovedsakelig knyttet til alkoholavhengighet, voksne";"År";19;0.000;0.000
"TT02";"Forløp for poliklinisk behandling hovedsakelig knyttet til opioidavhengighet, voksne";"År";19;0.000;0.000
"TT03";"Forløp for poliklinisk behandling hovedsakelig knyttet til cannabisavhengighet, voksne";"År";19;0.000;0.000
"TT05";"Forløp for poliklinisk behandling ved samtidig rusproblem og alvorlig psykisk lidelse, barn og unge";"År";19;0.000;0.000
"TT04";"Forløp for poliklinisk behandling ved samtidig rusproblem og alvorlig psykisk lidelse, voksne";"År";19;0.000;0.000
"TT06";"Forløp for poliklinisk behandling hovedsakelig knyttet til annen rusmiddelavhengighet, voksne";"År";19;0.000;0.000
"TT07";"Forløp for poliklinisk behandling hovedsakelig for schizofreni, voksne";"År";19;0.000;0.000
"TT08";"Forløp for poliklinisk behandling hovedsakelig for andre psykoser, voksne";"År";19;0.000;0.000
"TT09";"Forløp for poliklinisk behandling hovedsakelig for bipolar lidelse, voksne";"År";19;0.000;0.000
"TT10";"Forløp for poliklinisk behandling hovedsakelig for andre depressive tilstander, voksne";"År";19;0.000;0.000
"TT11";"Forløp for poliklinisk behandling hovedsakelig for depresjon, barn og unge";"År";19;0.000;0.000
"TT12";"Forløp for poliklinisk behandling hovedsakelig ved alvorlig depresjon, voksne";"År";19;0.000;0.000
"TT14";"Forløp for poliklinisk behandling hovedsakelig  for angst og fobiske lidelser, barn og unge";"År";19;0.000;0.000
"TT13";"Forløp for poliklinisk behandling hovedsakelig  for angst og fobiske lidelser, voksne";"År";19;0.000;0.000
"TT15";"Forløp for poliklinisk behandling hovedsakelig for tvangs lidelser, voksne";"År";19;0.000;0.000
"TT16";"Forløp for poliklinisk behandling hovedsakelig for tvangs lidelser, barn og unge";"År";19;0.000;0.000
"TT18";"Forløp for poliklinisk behandling hovedsakelig for PTSD og tilpassningsforstyrrelser m.v., barn og unge";"År";19;0.000;0.000
"TT17";"Forløp for poliklinisk behandling hovedsakelig for PTSD og tilpassningsforstyrrelser m.v., voksne";"År";19;0.000;0.000
